date,deaths,vaccines
2021/8/20,4,303304
2021/8/21,3,310524
2021/8/22,3,196001
2021/8/23,3,139555
2021/8/24,0,289942
2021/8/25,2,307191
2021/8/26,3,335420
2021/8/27,2,307090
2021/8/28,2,316330
2021/8/29,6,220686
2021/8/30,4,158428
2021/8/31,3,276925
2021/9/1,6,334832
2021/9/2,7,330586
2021/9/3,13,301399
2021/9/4,4,312275
2021/9/5,3,213595
2021/9/6,5,49820
2021/9/7,8,339762
2021/9/8,9,294651
2021/9/9,5,311368
2021/9/10,10,319057
2021/9/11,8,303552
2021/9/12,7,195809
2021/9/13,7,133201
2021/9/14,4,276176
2021/9/15,14,283991
2021/9/16,12,389182
2021/9/17,13,302141
2021/9/18,7,338375
2021/9/19,14,227036
2021/9/20,5,172580
2021/9/21,11,321168
2021/9/22,8,332010
2021/9/23,10,337285
2021/9/24,12,347796
2021/9/25,12,311275
2021/9/26,11,219373
2021/9/27,14,145382
2021/9/28,11,303423
2021/9/29,22,331930
2021/9/30,11,308805
2021/10/1,20,341129
2021/10/2,12,327717
2021/10/3,13,211389
2021/10/4,10,138537
2021/10/5,13,185742
2021/10/6,22,350856
2021/10/7,10,336559
2021/10/8,16,330621
2021/10/9,16,331299
2021/10/10,11,236407
2021/10/11,16,166090
2021/10/12,13,313635
2021/10/13,17,338127
2021/10/14,18,320773
2021/10/15,11,315359
2021/10/16,9,301694
2021/10/17,17,197684
2021/10/18,12,159806
2021/10/19,15,280373
2021/10/20,19,277872
2021/10/21,13,277315
2021/10/22,21,280836
2021/10/23,11,273861
2021/10/24,15,194297
2021/10/25,11,126471
2021/10/26,5,235622
2021/10/27,16,227994
2021/10/28,27,221089
2021/10/29,12,227532
2021/10/30,14,209947
2021/10/31,13,142833
2021/11/1,10,85764
2021/11/2,13,186315
2021/11/3,12,147409
2021/11/4,13,181768
2021/11/5,14,181833
2021/11/6,10,189471
2021/11/7,10,104884
2021/11/8,12,66426
2021/11/9,14,154538
2021/11/10,17,149424
2021/11/11,5,154133
2021/11/12,11,162003
2021/11/13,4,160229
2021/11/14,5,90537
2021/11/15,6,61360
2021/11/16,10,140067
2021/11/17,9,136434
2021/11/18,13,128477
2021/11/19,11,127909
2021/11/20,5,120465
2021/11/21,6,72087
2021/11/22,4,23360
2021/11/23,21,142529
2021/11/24,5,108660
2021/11/25,5,105894
2021/11/26,7,105908
2021/11/27,5,104382
2021/11/28,4,51609
2021/11/29,3,32764
2021/11/30,9,95247
2021/12/1,6,92188
2021/12/2,10,92808
2021/12/3,12,99084
2021/12/4,10,98415
2021/12/5,8,49012
2021/12/6,6,30611
2021/12/7,9,86870
2021/12/8,7,88417
2021/12/9,10,95224
2021/12/10,2,96692
2021/12/11,16,86383
2021/12/12,4,49337
2021/12/13,2,22903
2021/12/14,7,153764
2021/12/15,4,161915
2021/12/16,9,183414
2021/12/17,8,198870
2021/12/18,8,209153
2021/12/19,4,102500
2021/12/20,0,66476
2021/12/21,8,194742
2021/12/22,8,207329
2021/12/23,11,215907
2021/12/24,9,192929
2021/12/25,6,0
2021/12/26,2,0
2021/12/27,7,144272
2021/12/28,5,31159
2021/12/29,8,37226
2021/12/30,15,148974
2021/12/31,15,160279
2022/1/1,13,0
2022/1/2,5,0
2022/1/3,8,188294
2022/1/4,4,44533
2022/1/5,19,212497
2022/1/6,13,262353
2022/1/7,18,273272
2022/1/8,25,269306
2022/1/9,20,164137
2022/1/10,22,99903
2022/1/11,27,275838
2022/1/12,49,341294
2022/1/13,56,346349
2022/1/14,56,347072
2022/1/15,54,339207
2022/1/16,40,191252
2022/1/17,31,115279
2022/1/18,78,329004
2022/1/19,67,321959
2022/1/20,60,332808
2022/1/21,88,353190
2022/1/22,64,335954
2022/1/23,58,191876
2022/1/24,58,121177
2022/1/25,76,322467
2022/1/26,86,323879
2022/1/27,72,82709
2022/1/28,98,305665
2022/1/29,97,308821
2022/1/30,88,174045
2022/1/31,44,91289
2022/2/1,77,262036
2022/2/2,70,266736
2022/2/3,84,256965
2022/2/4,84,254407
2022/2/5,83,248477
2022/2/6,46,128581
2022/2/7,46,70718
2022/2/8,55,217265
2022/2/9,70,221125
2022/2/10,58,215521
2022/2/11,51,202530
2022/2/12,65,203969
2022/2/13,47,109070
2022/2/14,25,49887
2022/2/15,50,170278
2022/2/16,64,157068
2022/2/17,66,160271
2022/2/18,40,151720
2022/2/19,45,156810
2022/2/20,33,88029
2022/2/21,17,41619
2022/2/22,37,141967
2022/2/23,61,133500
2022/2/24,42,125035
2022/2/25,29,124697
2022/2/26,35,123107
2022/2/27,27,67202
2022/2/28,12,30858
2022/3/1,41,103432
2022/3/2,61,91405
2022/3/3,47,87550
2022/3/4,38,87444
2022/3/5,52,92169
2022/3/6,13,51889
2022/3/7,33,22939
2022/3/8,17,78829
2022/3/9,34,90527
2022/3/10,22,91390
2022/3/11,30,92914
2022/3/12,22,107936
2022/3/13,16,72514
2022/3/14,4,34594
2022/3/15,25,74424
2022/3/16,23,97497
2022/3/17,26,94165
2022/3/18,29,92821
2022/3/19,28,100896
2022/3/20,9,71177
2022/3/21,6,36546
2022/3/22,27,70283
2022/3/23,26,102115
2022/3/24,36,72877
2022/3/25,26,80472
2022/3/26,31,86526
2022/3/27,11,60822
2022/3/28,6,30417
2022/3/29,31,73431
2022/3/30,34,65855
2022/3/31,32,62616
2022/4/1,16,62043
2022/4/2,26,62216
2022/4/3,17,40750
2022/4/4,14,20464
2022/4/5,38,57638
2022/4/6,27,54812
2022/4/7,33,53893
2022/4/8,31,53068
2022/4/9,24,56019
2022/4/10,14,26116
2022/4/11,5,14491
2022/4/12,40,65060
2022/4/13,39,56680
2022/4/14,45,54554
2022/4/15,34,58114
2022/4/16,35,4558
2022/4/17,17,11615
2022/4/18,10,3092
2022/4/19,18,6503
2022/4/20,38,63039
2022/4/21,50,63946
2022/4/22,46,64936
2022/4/23,44,64142
2022/4/24,21,28189
2022/4/25,17,12056
2022/4/26,49,4465
2022/4/27,46,64448
2022/4/28,50,60526
2022/4/29,26,58350
2022/4/30,53,58632
2022/5/1,15,24538
2022/5/2,13,8815
2022/5/3,41,43532
2022/5/4,56,56737
2022/5/5,56,61296
2022/5/6,30,64569
2022/5/7,44,61835
2022/5/8,19,20917
2022/5/9,3,6588
2022/5/10,49,58765
2022/5/11,51,66015
2022/5/12,55,66735
2022/5/13,52,68188
2022/5/14,53,61952
2022/5/15,21,20756
2022/5/16,13,9513
2022/5/17,66,60644
2022/5/18,53,66565
2022/5/19,52,69559
2022/5/20,51,69861
2022/5/21,46,62514
2022/5/22,20,19841
2022/5/23,17,8418
2022/5/24,68,55409
2022/5/25,41,62470
2022/5/26,71,62285
2022/5/27,39,63760
2022/5/28,58,60404
2022/5/29,30,21645
2022/5/30,10,8552
2022/5/31,56,53489
2022/6/1,37,59556
2022/6/2,57,59985
2022/6/3,50,59771
2022/6/4,60,54928
2022/6/5,30,17823
2022/6/6,19,6703
2022/6/7,29,44468
2022/6/8,59,56172
2022/6/9,59,52998
2022/6/10,41,55129
2022/6/11,70,46309
2022/6/12,24,14697
2022/6/13,11,6211
2022/6/14,30,14971
2022/6/15,57,51290
2022/6/16,73,49650
2022/6/17,51,50262
2022/6/18,64,42747
2022/6/19,42,16473
2022/6/20,13,5279
2022/6/21,59,40396
2022/6/22,63,45912
2022/6/23,52,43042
2022/6/24,46,45251
2022/6/25,56,39089
2022/6/26,26,12177
2022/6/27,23,5291
2022/6/28,75,34262
2022/6/29,59,39092
2022/6/30,60,37054
2022/7/1,33,37031
2022/7/2,54,31253
2022/7/3,30,9363
2022/7/4,26,3608
2022/7/5,46,31769
2022/7/6,44,38762
2022/7/7,60,40758
2022/7/8,35,48927
2022/7/9,77,60079
2022/7/10,13,20750
2022/7/11,13,8090
2022/7/12,58,101080
2022/7/13,57,119985
2022/7/14,78,117179
2022/7/15,66,118101
2022/7/16,77,118405
2022/7/17,30,49996
2022/7/18,31,21172
2022/7/19,75,103544
2022/7/20,90,111753
2022/7/21,89,107712
2022/7/22,63,108802
2022/7/23,102,106743
2022/7/24,36,43852
2022/7/25,32,-354448
2022/7/26,100,0
2022/7/27,83,0
2022/7/28,125,0
2022/7/29,157,0
2022/7/30,140,0
2022/7/31,41,0
2022/8/1,19,0
2022/8/2,95,0
2022/8/3,65,0
2022/8/4,85,0
2022/8/5,82,0
2022/8/6,88,0
2022/8/7,32,0
2022/8/8,15,0
2022/8/9,104,0
2022/8/10,133,0
2022/8/11,87,0
2022/8/12,86,0
2022/8/13,89,0
2022/8/14,34,0
2022/8/15,27,0
2022/8/16,73,0
2022/8/17,67,0
2022/8/18,135,0
2022/8/19,73,0
2022/8/20,97,0
2022/8/21,36,0
2022/8/22,11,0
2022/8/23,96,0
2022/8/24,60,0
2022/8/25,83,0
2022/8/26,62,0
2022/8/27,86,0
2022/8/28,15,0
2022/8/29,11,0
2022/8/30,77,0
2022/8/31,69,0
2022/9/1,62,0
2022/9/2,58,0
2022/9/3,39,0
2022/9/4,14,0
2022/9/5,11,0
2022/9/6,76,0
2022/9/7,62,0
2022/9/8,74,0
2022/9/9,134,0
2022/9/10,5,0
2022/9/11,2,0
2022/9/12,1,0
2022/9/13,25,0
2022/9/14,3,0
2022/9/15,8,0
2022/9/16,266,0
2022/9/17,4,0
2022/9/18,15,0
2022/9/19,5,0
2022/9/20,19,0
2022/9/21,4,0
2022/9/22,33,0
2022/9/23,139,0
2022/9/24,0,0
2022/9/25,0,0
2022/9/26,0,0
2022/9/27,0,0
2022/9/28,0,0
2022/9/29,0,0
2022/9/30,252,0
