Date,New deaths / day,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
2021/8/10,4,4,0,0,0,0,0,0,0
2021/8/11,2,2,0,0,0,0,0,0,0
2021/8/12,2,2,0,0,0,0,0,0,0
2021/8/13,2,2,0,0,0,0,0,0,0
2021/8/14,4,4,0,0,0,0,0,0,0
2021/8/15,5,5,0,0,0,0,0,0,0
2021/8/16,8,8,0,0,0,0,0,0,0
2021/8/17,1,1,0,0,0,0,0,0,0
2021/8/18,3,3,0,0,0,0,0,0,0
2021/8/19,1,1,0,0,0,0,0,0,0
2021/8/20,4,4,0,0,0,0,0,0,0
2021/8/21,3,3,0,0,0,0,0,0,0
2021/8/22,3,3,0,0,0,0,0,0,0
2021/8/23,3,3,0,0,0,0,0,0,0
2021/8/24,0,0,0,0,0,0,0,0,0
2021/8/25,2,2,0,0,0,0,0,0,0
2021/8/26,3,3,0,0,0,0,0,0,0
2021/8/27,2,2,0,0,0,0,0,0,0
2021/8/28,2,2,0,0,0,0,0,0,0
2021/8/29,6,6,0,0,0,0,0,0,0
2021/8/30,4,4,0,0,0,0,0,0,0
2021/8/31,3,3,0,0,0,0,0,0,0
2021/9/1,6,4,2,0,0,0,0,0,0
2021/9/2,7,7,0,0,0,0,0,0,0
2021/9/3,13,12,1,0,0,0,0,0,0
2021/9/4,4,4,0,0,0,0,0,0,0
2021/9/5,3,3,0,0,0,0,0,0,0
2021/9/6,5,5,0,0,0,0,0,0,0
2021/9/7,8,8,0,0,0,0,0,0,0
